Ticker
AAPL
MSFT
NVDA
AMD
GOOGL
META
AMZN
TSLA
NFLX
AVGO
PLTR
COST
JPM
WMT
ORCL
CRM
INTU
IBM
QCOM
ADBE
PANW
CRWD
UBER
SHOP
SNOW
MU
